matter_class,eos_id,family_group_id,amplitude,build_ok,physical_trace_ok,minimum_mass_msun,maximum_mass_msun,radius_1p4_km,covers_ml_mass_grid_1_to_2,passes_mmax_floor,passes_mmax_ceiling,passes_r14_screen,acceptable,reason
quark,CFL14,Q_CFL14,-0.02,True,True,0.0514504877117654,2.068209588897933,10.354001459668243,True,True,True,True,True,
quark,CFL14,Q_CFL14,0.0,True,True,0.0514807888292314,2.070453760186425,10.359827693911914,True,True,True,True,True,
quark,CFL14,Q_CFL14,0.01,True,True,0.051495571523819,2.071576805625792,10.36272492160933,True,True,True,True,True,
quark,CFL14,Q_CFL14,0.02,True,True,0.0515101162487639,2.072700486650444,10.36561154528804,True,True,True,True,True,
quark,CFL14,Q_CFL14,0.03,True,True,0.0515244282770006,2.0738248000627357,10.36848755712724,True,True,True,True,True,
quark,CFL14,Q_CFL14,0.04,True,True,0.0515385127409447,2.0749497426684536,10.371352949166896,True,True,True,True,True,
quark,CFL14,Q_CFL14,0.05,True,True,0.0515523746364564,2.076075311278301,10.374207714791684,True,True,True,True,True,
quark,CFL14,Q_CFL14,0.09,True,True,0.0516056918977895,2.080583781973926,10.38552038551772,True,True,True,True,True,
quark,CFL3,Q_CFL3,-0.05,True,True,0.0562121322007488,2.3098707867655337,11.767245447864775,True,True,True,True,True,
quark,CFL3,Q_CFL3,-0.02,True,True,0.0563618349041436,2.3485962928051025,11.83070237504049,True,True,True,True,True,
quark,CFL3,Q_CFL3,0.0,True,True,0.056450741823909,2.374785362047826,11.86777431483942,True,True,True,True,True,
quark,CFL3,Q_CFL3,0.01,True,True,0.0564923538317055,2.3879535733053654,11.884902329642756,True,True,True,True,True,
quark,CFL3,Q_CFL3,0.02,True,True,0.0565322325257185,2.401208179637901,11.901136117091587,True,True,True,True,True,
quark,CFL3,Q_CFL3,0.03,True,True,0.0565704858777674,2.414481796713944,11.91652532380503,True,True,True,True,True,
quark,CFL3,Q_CFL3,0.04,True,True,0.0566072129468119,2.427831859300677,11.931123991730368,True,True,True,True,True,
quark,CFL3,Q_CFL3,0.05,True,True,0.0566425047689146,2.441225535232795,11.944983662511332,True,True,True,True,True,
quark,CFL3,Q_CFL3,0.09,True,True,0.0567709024663335,2.495137224854598,11.993963553843896,True,True,True,True,True,
quark,CFL4,Q_CFL4,-0.05,True,True,0.0526564067924071,2.099497717784722,11.182616142311188,True,True,True,True,True,
